year,id,ndvi
2013,4867,2542.123799
2013,4908,2222.297777
2013,5492,2993.328396
2013,6125,3083.589624
2013,8272,1657.894678
2013,9767,3588.411803
2013,9798,1570.841649
2013,10656,3478.755222
2013,11124,4945.176212
2013,12446,3470.94024
2013,12457,3213.416237
2013,12570,1875.537549
2013,13782,4179.287553
2013,14512,4065.83006
2013,14550,4731.824186
2013,14683,3942.302738
2013,15085,1992.706924
2013,15616,1911.954805
2013,16485,2662.389206
2013,16833,2713.233513
2013,18541,1797.58438
2013,18542,2094.275239
2013,18585,1829.910114
2013,18815,2529.612586
2013,18861,2765.251716
2013,19004,2615.814148
2013,19326,3123.738037
2013,20593,2045.327295
2013,22224,3238.425314
2013,23007,2420.034867
2013,23460,1649.77164
2014,162,2608.323508
2014,509,2116.216069
2014,801,3195.854464
2014,843,3986.095468
2014,899,3598.63658
2014,955,2128.620162
2014,1079,2440.864067
2014,1436,3323.1563
2014,1617,3954.366558
2014,2381,3487.170319
2014,2387,3459.885456
2014,2538,2422.370268
2014,2667,2052.94029
2014,3018,5255.811349
2014,3399,3383.800891
2014,3614,4248.972234
2014,3775,4972.837571
2014,3820,2800.328781
2014,4508,2440.088302
2014,4867,2308.884946
2014,4908,2013.211969
2014,5492,3216.035974
2014,6125,3142.54144
2014,8272,1892.731503
2014,9767,3696.436069
2014,9798,2201.714396
2014,10656,3519.256107
2014,11124,4836.602129
2014,12446,3886.225521
2014,12457,3481.072585
2014,12570,2374.507324
2014,13782,3599.541987
2014,14512,4227.097174
2014,14550,5340.13801
2014,14683,4352.453008
2014,15085,2178.375917
2014,15616,2543.029174
2014,16485,2902.155846
2014,16833,2753.127196
2014,18541,1818.994403
2014,18542,2172.551685
2014,18585,2019.857881
2014,18815,2705.87304
2014,18861,3034.055606
2014,19004,3015.142995
2014,19326,3519.532084
2014,20593,2210.353865
2014,22224,3633.2695
2014,23007,3158.502625
2014,23460,2337.34918
2015,162,3039.282517
2015,509,2743.771445
2015,801,3094.327949
2015,843,4188.856218
2015,899,3932.852871
2015,955,1837.72633
2015,1079,2229.673251
2015,1436,3457.690257
2015,1617,3763.723136
2015,2381,3728.426265
2015,2387,3659.196792
2015,2538,2970.828412
2015,2667,2420.533913
2015,3018,4947.797894
2015,3399,3609.81871
2015,3614,4055.63985
2015,3775,4901.531873
2015,3820,2285.570146
2015,4508,2132.042382
2015,4867,2471.383113
2015,4908,2400.213086
2015,5492,3042.457831
2015,6125,3213.954458
2015,8272,2155.04342
2015,9767,3571.019775
2015,9798,1993.749245
2015,10656,3528.639985
2015,11124,4921.637615
2015,12446,3861.742108
2015,12457,3654.320827
2015,12570,2214.903278
